Ref_Date,GEO,SECTORS,STATEMENT,Vector,Coordinate,Value
2002/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,82235.0
2002/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,85681.0
2002/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,89206.0
2003/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,81755.0
2003/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,82154.0
2003/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,88998.0
2003/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,92393.0
2004/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,86949.0
2004/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,89270.0
2004/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,95897.0
2004/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,98050.0
2005/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,93407.0
2005/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,95880.0
2005/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,100541.0
2005/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,104455.0
2006/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,99120.0
2006/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,101497.0
2006/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,106036.0
2006/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,111463.0
2007/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,104531.0
2007/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,109890.0
2007/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,111041.0
2007/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,113174.0
2008/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,105966.0
2008/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,107309.0
2008/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,113209.0
2008/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,112251.0
2009/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,101443.0
2009/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,99461.0
2009/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,106494.0
2009/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,115982.0
2010/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,107973.0
2010/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,102655.0
2010/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,109441.0
2010/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,116546.0
2011/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,107707.0
2011/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,111379.0
2011/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,118618.0
2011/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,123612.0
2012/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,115315.0
2012/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,116212.0
2012/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,122638.0
2012/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,127336.0
2013/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,118023.0
2013/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,119523.0
2013/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,125030.0
2013/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,131916.0
2014/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,121869.0
2014/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,124776.0
2014/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,131285.0
2014/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,137613.0
1991/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,25025.0
1991/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,30662.0
1991/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,28068.0
1991/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,29932.0
1992/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,28330.0
1992/06,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,28785.0
1992/09,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,26370.0
1992/12,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,29893.0
1993/03,Canada,Consolidated government,"Taxes on income, profits, and capital gains (x 1,000,000)",v52530998,1.1.3,27931.0
