specimen,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,ES17,ES18,ES19,ES20
650 NCA20 16.tif,0.124739432,-0.021482904,0.030249938,-0.052913314,0.030547489,0.001724254,-0.033085285,0.018427173,0.014439937,0.015389221,0.007599429,-0.060143826,0.008482222,-0.012710752,-0.022113988,0.069640851,-0.018955428,0.037647692,-0.010777005,-0.016030363
651 NCA20 17.tif,0.07664158,-0.0382854,-0.002518982,-0.019405015,0.052771644,0.019227478,0.000840015,-0.01141653,0.021921806,-0.011458537,0.002639443,0.044936522,0.053817092,0.014775643,0.019395712,-0.032526733,0.012419198,-0.035668207,0.033742101,-0.027197714
653 NCA20 19.tif,0.108624943,-0.011147401,0.044259039,-0.076605748,0.029918137,-0.014862851,-0.000561213,0.008892098,0.051226578,-0.001585975,-0.040132555,-0.033058235,-0.037227646,0.019519822,-0.020550051,-0.01573871,0.005789119,0.041449914,-0.002971376,0.037888826
655 NCA20 21.tif,0.037550819,0.049447041,0.042558262,0.007657413,0.016370343,-0.03104885,0.007955644,-0.034353822,0.025935894,0.023490363,-0.024672675,0.017514408,-0.021556943,0.067837541,-0.002003777,0.087263394,0.026014754,-0.020295079,-0.013332939,-0.048933445
658 NCA20 24.tif,0.071479503,-0.01679508,0.103151647,0.070182639,0.005808945,-0.023244386,0.022275163,0.026637705,-0.055203279,0.047957839,0.032002707,-0.020314289,0.007586018,0.002594773,-0.012618335,-0.016199673,-0.031618884,0.032869723,-0.027928564,0.010620824
660 NCA20 26.tif,0.110101966,-0.000937516,0.046355564,0.075957753,0.003195069,-0.03098757,-0.025501995,0.041187122,-0.018391901,0.019796547,-0.008630558,-0.002738229,0.011151839,0.034565613,-0.005972698,-0.003797284,-0.02782741,0.027743797,-0.007070116,-0.012102237
661 NCA20 27.tif,0.02983007,0.026282664,0.022148869,-0.075507336,0.012380944,-0.032219983,-0.007395898,-0.038783932,-0.008932528,-0.034724778,-0.042877343,0.006586648,0.03481887,-0.024918227,-0.01252442,0.009197662,0.048861975,0.031999021,0.00865333,-0.021894114
672 NCA30 8.tif,-0.052111475,0.157680165,0.119302917,-0.067936946,0.031182772,-0.020738691,-0.012410951,-0.036943394,-0.00440389,0.021527169,-0.001092763,0.015575447,0.011902074,-0.018034234,0.016395054,0.017261501,-0.033633165,-0.006712481,0.025597085,0.038153599
674 NCA30 10.tif,0.023969821,0.027996389,0.056792479,-0.067388336,-0.009646832,-0.029903082,0.013016141,-0.0116164,0.013653274,0.004814891,0.022869174,-0.004877061,-0.007828374,0.001086442,-0.00342656,-0.000374927,-0.013306772,0.006983247,0.007645009,-0.018121506
675 NCA30 11.tif,0.061881292,0.008464381,0.062391025,-0.028222968,0.02382199,-0.016673699,0.000963332,-0.006009491,-0.002605484,-0.010687856,0.006320294,-0.023156519,-0.025485288,0.006953331,0.003787691,-0.003135515,-0.020750522,0.017363637,0.018873101,0.009020027
